-5.000000 0.000000
-4.900000 0.000000
-4.800000 0.000000
-4.700000 0.000000
-4.600000 0.000000
-4.500000 0.000000
-4.400000 0.000000
-4.300000 0.000000
-4.200000 0.000000
-4.100000 0.000000
-4.000000 0.000000
-3.900000 0.598250
-3.800000 0.519904
-3.700000 0.449517
-3.600000 0.386531
-3.500000 0.330408
-3.400000 0.280631
-3.300000 0.236702
-3.200000 0.198144
-3.100000 0.164501
-3.000000 0.135335
-2.900000 0.110231
-2.800000 0.088793
-2.700000 0.070646
-2.600000 0.055433
-2.500000 0.042821
-2.400000 0.032494
-2.300000 0.024158
-2.200000 0.017539
-2.100000 0.012384
-2.000000 0.008458
-1.900000 6.079971
-1.800000 5.053090
-1.700000 4.241852
-1.600000 3.596640
-1.500000 3.080217
-1.400000 2.664456
-1.300000 2.327978
-1.200000 2.054433
-1.100000 1.831252
-1.000000 1.648721
-0.900000 1.499303
-0.800000 1.377128
-0.700000 1.277621
-0.600000 1.197217
-0.500000 1.133148
-0.400000 1.083287
-0.300000 1.046028
-0.200000 1.020201
-0.100000 1.005013
-0.000000 1.000000
0.100000 1.005013
0.200000 1.020201
0.300000 1.046028
0.400000 1.083287
0.500000 1.133148
0.600000 1.197217
0.700000 1.277621
0.800000 1.377128
0.900000 1.499303
1.000000 1.648721
1.100000 1.831252
1.200000 2.054433
1.300000 2.327978
1.400000 2.664456
1.500000 3.080217
1.600000 3.596640
1.700000 4.241852
1.800000 5.053090
1.900000 6.079971
2.000000 7.389056
2.100000 0.012384
2.200000 0.017539
2.300000 0.024158
2.400000 0.032494
2.500000 0.042821
2.600000 0.055433
2.700000 0.070646
2.800000 0.088793
2.900000 0.110231
3.000000 0.135335
3.100000 0.164501
3.200000 0.198144
3.300000 0.236702
3.400000 0.280631
3.500000 0.330408
3.600000 0.386531
3.700000 0.449517
3.800000 0.519904
3.900000 0.598250
4.000000 0.000000
4.100000 0.000000
4.200000 0.000000
4.300000 0.000000
4.400000 0.000000
4.500000 0.000000
4.600000 0.000000
4.700000 0.000000
4.800000 0.000000
4.900000 0.000000
5.000000 0.000000
